photo,weed_id,species,species_confidence,stage,bbox_x,bbox_y,bbox_w,bbox_h
DJI_20260609122641_0177_D.JPG,45,Пырей ползучий,0.879,цветение,1252,2142,73,89
DJI_20260609122641_0177_D.JPG,46,Пырей ползучий,0.9,цветение,1608,2114,85,107
DJI_20260609122641_0177_D.JPG,47,Пырей ползучий,0.942,цветение,2732,2108,358,722
DJI_20260609122641_0177_D.JPG,48,Пырей ползучий,0.917,цветение,84,2075,227,154
DJI_20260609122641_0177_D.JPG,49,Пырей ползучий,0.886,цветение,601,2058,128,115
DJI_20260609122641_0177_D.JPG,50,Пырей ползучий,0.759,цветение,2128,2027,55,96
DJI_20260609122641_0177_D.JPG,51,Пырей ползучий,0.906,цветение,1399,2024,134,120
DJI_20260609122641_0177_D.JPG,52,Бодяк полевой,0.85,цветение,1253,2023,58,57
DJI_20260609122641_0177_D.JPG,53,Пырей ползучий,0.7,цветение,1958,1947,65,33
DJI_20260609122641_0177_D.JPG,54,Пырей ползучий,0.711,цветение,3908,1927,52,97
DJI_20260609122641_0177_D.JPG,55,Пырей ползучий,0.69,цветение,1546,1875,129,24
DJI_20260609122641_0177_D.JPG,56,Пырей ползучий,0.872,цветение,1080,1870,138,100
DJI_20260609122641_0177_D.JPG,57,Пырей ползучий,0.881,цветение,1401,1853,147,124
DJI_20260609122641_0177_D.JPG,58,Пырей ползучий,0.899,цветение,1072,1850,285,475
DJI_20260609122641_0177_D.JPG,59,Пырей ползучий,0.843,цветение,1089,1804,140,71
DJI_20260609122641_0177_D.JPG,60,Пырей ползучий,0.901,цветение,2014,1678,163,163
DJI_20260609122641_0177_D.JPG,61,Бодяк полевой,0.831,цветение,3625,1645,60,54
DJI_20260609122641_0177_D.JPG,62,Пырей ползучий,0.855,цветение,1459,1583,113,135
DJI_20260609122641_0177_D.JPG,63,Пырей ползучий,0.707,цветение,457,1567,33,122
DJI_20260609122641_0177_D.JPG,64,Пырей ползучий,0.819,цветение,393,1502,100,72
DJI_20260609122641_0177_D.JPG,65,Пырей ползучий,0.915,цветение,0,1406,1057,1237
DJI_20260609122641_0177_D.JPG,66,Пырей ползучий,0.826,цветение,2667,1386,56,83
DJI_20260609122641_0177_D.JPG,67,Бодяк полевой,0.84,цветение,3570,1363,75,70
DJI_20260609122641_0177_D.JPG,68,Пырей ползучий,0.889,цветение,326,1315,115,171
DJI_20260609122641_0177_D.JPG,69,Пырей ползучий,0.75,цветение,1644,1307,68,48
DJI_20260609122641_0177_D.JPG,70,Пырей ползучий,0.799,цветение,375,1279,98,65
DJI_20260609122641_0177_D.JPG,71,Пырей ползучий,0.87,цветение,1486,1267,131,108
DJI_20260609122641_0177_D.JPG,72,Пырей ползучий,0.866,цветение,826,1257,65,62
DJI_20260609122641_0177_D.JPG,73,Пырей ползучий,0.903,цветение,0,1251,162,221
DJI_20260609122641_0177_D.JPG,74,Пырей ползучий,0.911,цветение,2288,1246,328,473
DJI_20260609122641_0177_D.JPG,75,Пырей ползучий,0.751,цветение,3411,1241,45,73
DJI_20260609122641_0177_D.JPG,76,Бодяк полевой,0.859,цветение,1481,1210,51,55
DJI_20260609122641_0177_D.JPG,77,Пырей ползучий,0.859,цветение,1416,1210,58,97
DJI_20260609122641_0177_D.JPG,78,Пырей ползучий,0.807,цветение,145,1201,117,67
DJI_20260609122641_0177_D.JPG,79,Пырей ползучий,0.76,цветение,1352,1194,82,35
DJI_20260609122641_0177_D.JPG,80,Пырей ползучий,0.886,цветение,301,1184,147,91
DJI_20260609122641_0177_D.JPG,81,Пырей ползучий,0.844,цветение,0,1166,192,88
DJI_20260609122641_0177_D.JPG,82,Пырей ползучий,0.882,цветение,2599,1163,113,118
DJI_20260609122641_0177_D.JPG,83,Пырей ползучий,0.911,цветение,586,1156,892,731
DJI_20260609122641_0177_D.JPG,84,Пырей ползучий,0.861,цветение,235,1075,266,79
DJI_20260609122641_0177_D.JPG,85,Пырей ползучий,0.857,цветение,1859,1068,112,162
DJI_20260609122641_0177_D.JPG,86,Пырей ползучий,0.92,цветение,613,1054,150,168
DJI_20260609122641_0177_D.JPG,87,Пырей ползучий,0.801,цветение,3548,1005,142,64
DJI_20260609122641_0177_D.JPG,88,Пырей ползучий,0.886,цветение,2467,995,110,128
DJI_20260609122641_0177_D.JPG,89,Пырей ползучий,0.897,цветение,0,991,183,111
DJI_20260609122641_0177_D.JPG,90,Бодяк полевой,0.83,цветение,2977,989,48,76
DJI_20260609122641_0177_D.JPG,91,Бодяк полевой,0.863,цветение,3714,936,61,66
DJI_20260609122641_0177_D.JPG,92,Пырей ползучий,0.82,цветение,962,929,74,53
DJI_20260609122641_0177_D.JPG,93,Пырей ползучий,0.874,цветение,2318,905,116,164
DJI_20260609122641_0177_D.JPG,94,Пырей ползучий,0.876,цветение,509,895,119,120
DJI_20260609122641_0177_D.JPG,95,Пырей ползучий,0.708,цветение,3041,878,79,43
DJI_20260609122641_0177_D.JPG,96,Пырей ползучий,0.83,цветение,0,876,97,58
DJI_20260609122641_0177_D.JPG,97,Пырей ползучий,0.689,цветение,2950,850,52,25
DJI_20260609122641_0177_D.JPG,98,Пырей ползучий,0.902,цветение,287,849,95,101
DJI_20260609122641_0177_D.JPG,99,Пырей ползучий,0.875,цветение,1267,834,105,84
DJI_20260609122641_0177_D.JPG,100,Бодяк полевой,0.787,цветение,1708,833,49,44
DJI_20260609122641_0177_D.JPG,101,Пырей ползучий,0.907,цветение,298,788,118,92
DJI_20260609122641_0177_D.JPG,102,Бодяк полевой,0.87,цветение,3096,787,114,92
DJI_20260609122641_0177_D.JPG,103,Пырей ползучий,0.854,цветение,2341,782,78,115
DJI_20260609122641_0177_D.JPG,104,Пырей ползучий,0.73,цветение,2905,765,55,102
DJI_20260609122641_0177_D.JPG,105,Бодяк полевой,0.736,цветение,1037,713,62,39
DJI_20260609122641_0177_D.JPG,106,Пырей ползучий,0.833,цветение,1540,698,63,119
DJI_20260609122641_0177_D.JPG,107,Пырей ползучий,0.902,цветение,1319,674,104,213
DJI_20260609122641_0177_D.JPG,108,Пырей ползучий,0.775,цветение,3754,650,82,97
DJI_20260609122641_0177_D.JPG,109,Бодяк полевой,0.863,цветение,1599,649,77,122
DJI_20260609122641_0177_D.JPG,110,Пырей ползучий,0.895,цветение,1523,568,86,104
DJI_20260609122641_0177_D.JPG,111,Пырей ползучий,0.875,цветение,891,561,85,162
DJI_20260609122641_0177_D.JPG,112,Пырей ползучий,0.782,цветение,3702,515,108,50
DJI_20260609122641_0177_D.JPG,113,Пырей ползучий,0.9,цветение,1162,486,117,147
DJI_20260609122641_0177_D.JPG,114,Пырей ползучий,0.877,цветение,981,480,118,173
DJI_20260609122641_0177_D.JPG,115,Пырей ползучий,0.74,цветение,2022,479,71,159
DJI_20260609122641_0177_D.JPG,116,Пырей ползучий,0.897,цветение,1697,473,171,284
DJI_20260609122641_0177_D.JPG,117,Пырей ползучий,0.909,цветение,0,457,181,233
DJI_20260609122641_0177_D.JPG,118,Пырей ползучий,0.855,цветение,1607,440,68,111
DJI_20260609122641_0177_D.JPG,119,Пырей ползучий,0.758,цветение,1076,417,75,52
DJI_20260609122641_0177_D.JPG,120,Пырей ползучий,0.854,цветение,1410,416,128,91
DJI_20260609122641_0177_D.JPG,121,Пырей ползучий,0.929,цветение,2604,373,210,275
DJI_20260609122641_0177_D.JPG,122,Бодяк полевой,0.871,цветение,2745,336,96,87
DJI_20260609122641_0177_D.JPG,123,Пырей ползучий,0.88,цветение,1265,320,86,160
DJI_20260609122641_0177_D.JPG,124,Пырей ползучий,0.9,цветение,2120,306,412,426
DJI_20260609122641_0177_D.JPG,125,Пырей ползучий,0.892,цветение,0,296,120,175
DJI_20260609122641_0177_D.JPG,126,Пырей ползучий,0.902,цветение,1592,202,159,294
DJI_20260609122641_0177_D.JPG,127,Вьюнок полевой,0.863,цветение,2145,187,114,116
DJI_20260609122641_0177_D.JPG,128,Пырей ползучий,0.742,цветение,3892,182,107,66
DJI_20260609122641_0177_D.JPG,129,Бодяк полевой,0.842,цветение,706,160,65,65
DJI_20260609122641_0177_D.JPG,130,Пырей ползучий,0.929,цветение,1146,146,285,249
DJI_20260609122641_0177_D.JPG,131,Пырей ползучий,0.91,цветение,2252,116,126,211
DJI_20260609122641_0177_D.JPG,132,Пырей ползучий,0.93,цветение,3505,114,344,176
DJI_20260609122641_0177_D.JPG,133,Пырей ползучий,0.691,цветение,3111,110,35,58
DJI_20260609122641_0177_D.JPG,134,Пырей ползучий,0.763,цветение,2214,43,60,118
DJI_20260609122641_0177_D.JPG,135,Пырей ползучий,0.901,цветение,1597,0,2499,3072
DJI_20260609122641_0177_D.JPG,136,Пырей ползучий,0.911,цветение,2499,0,221,387
DJI_20260609122641_0177_D.JPG,137,Пырей ползучий,0.909,цветение,1845,0,288,615
DJI_20260609122641_0177_D.JPG,138,Пырей ползучий,0.931,цветение,1455,0,244,257
DJI_20260609122641_0177_D.JPG,139,Пырей ползучий,0.895,цветение,879,0,148,155
DJI_20260609122641_0177_D.JPG,140,Пырей ползучий,0.916,цветение,109,0,1004,874
DJI_20260609122641_0177_D.JPG,141,Пырей ползучий,0.873,цветение,0,0,80,268
DJI_20260615115515_0164_D.JPG,142,unknown,0.523,всходы,1594,3036,63,36
DJI_20260615115515_0164_D.JPG,143,Пырей ползучий,0.705,цветение,3087,3004,103,68
DJI_20260615115515_0164_D.JPG,144,Пырей ползучий,0.635,цветение,2845,2962,79,56
DJI_20260615115515_0164_D.JPG,145,Бодяк полевой,0.634,всходы,3224,2956,37,60
DJI_20260615115515_0164_D.JPG,146,Пырей ползучий,0.846,цветение,1024,2940,404,132
DJI_20260615115515_0164_D.JPG,147,Пырей ползучий,0.683,розетка,1419,2855,89,45
DJI_20260615115515_0164_D.JPG,148,Пырей ползучий,0.693,цветение,103,2852,141,38
DJI_20260615115515_0164_D.JPG,149,Пырей ползучий,0.605,цветение,3610,2809,68,63
DJI_20260615115515_0164_D.JPG,150,Пырей ползучий,0.832,цветение,1692,2786,137,240
DJI_20260615115515_0164_D.JPG,151,Вьюнок полевой,0.923,цветение,27,2726,473,346
DJI_20260615115515_0164_D.JPG,152,Пырей ползучий,0.855,цветение,1536,2711,137,247
DJI_20260615115515_0164_D.JPG,153,Пырей ползучий,0.657,цветение,2631,2642,21,115
DJI_20260615115515_0164_D.JPG,154,Бодяк полевой,0.67,цветение,2780,2591,61,83
DJI_20260615115515_0164_D.JPG,155,Бодяк полевой,0.831,цветение,650,2574,106,91
DJI_20260615115515_0164_D.JPG,156,Пырей ползучий,0.612,цветение,1004,2561,33,68
DJI_20260615115515_0164_D.JPG,157,Пырей ползучий,0.899,цветение,824,2549,173,125
DJI_20260615115515_0164_D.JPG,158,Вьюнок полевой,0.918,цветение,1785,2542,1389,530
DJI_20260615115515_0164_D.JPG,159,Пырей ползучий,0.802,цветение,3087,2532,120,106
DJI_20260615115515_0164_D.JPG,160,Пырей ползучий,0.662,цветение,2928,2476,77,48
DJI_20260615115515_0164_D.JPG,161,Вьюнок полевой,0.91,цветение,3129,2460,441,588
DJI_20260615115515_0164_D.JPG,162,Вьюнок полевой,0.925,цветение,0,2383,501,371
DJI_20260615115515_0164_D.JPG,163,Пырей ползучий,0.68,цветение,1417,2347,107,17
DJI_20260615115515_0164_D.JPG,164,Пырей ползучий,0.876,цветение,1143,2281,140,147
DJI_20260615115515_0164_D.JPG,165,Бодяк полевой,0.848,цветение,7,2276,197,103
DJI_20260615115515_0164_D.JPG,166,Вьюнок полевой,0.879,цветение,3437,2268,659,804
DJI_20260615115515_0164_D.JPG,167,Пырей ползучий,0.593,розетка,3486,2265,52,135
DJI_20260615115515_0164_D.JPG,168,Пырей ползучий,0.717,цветение,1926,2231,97,26
DJI_20260615115515_0164_D.JPG,169,Вьюнок полевой,0.909,цветение,520,2212,293,192
DJI_20260615115515_0164_D.JPG,170,Пырей ползучий,0.702,цветение,486,2207,100,71
DJI_20260615115515_0164_D.JPG,171,Пырей ползучий,0.679,цветение,1258,2194,117,70
DJI_20260615115515_0164_D.JPG,172,Пырей ползучий,0.782,цветение,355,2190,131,122
DJI_20260615115515_0164_D.JPG,173,Бодяк полевой,0.745,цветение,2039,2169,103,80
DJI_20260615115515_0164_D.JPG,174,Бодяк полевой,0.87,цветение,1552,2165,115,108
DJI_20260615115515_0164_D.JPG,175,Бодяк полевой,0.72,цветение,2838,2154,30,48
DJI_20260615115515_0164_D.JPG,176,Вьюнок полевой,0.928,цветение,440,2151,2094,921
DJI_20260615115515_0164_D.JPG,177,Пырей ползучий,0.714,цветение,3731,2134,145,71
DJI_20260615115515_0164_D.JPG,178,Вьюнок полевой,0.913,цветение,2508,2129,301,294
DJI_20260615115515_0164_D.JPG,179,Пырей ползучий,0.612,цветение,229,2101,67,65
DJI_20260615115515_0164_D.JPG,180,Пырей ползучий,0.771,цветение,3558,2096,109,160
DJI_20260615115515_0164_D.JPG,181,Пырей ползучий,0.898,цветение,3926,2093,170,172
DJI_20260615115515_0164_D.JPG,182,Бодяк полевой,0.775,цветение,2820,2067,65,57
DJI_20260615115515_0164_D.JPG,183,Пырей ползучий,0.746,розетка,2666,2054,115,114
DJI_20260615115515_0164_D.JPG,184,Пырей ползучий,0.623,цветение,2478,2009,82,51
DJI_20260615115515_0164_D.JPG,185,Вьюнок полевой,0.898,цветение,1251,1997,353,188
DJI_20260615115515_0164_D.JPG,186,Бодяк полевой,0.802,цветение,1478,1981,76,80
DJI_20260615115515_0164_D.JPG,187,Пырей ползучий,0.687,цветение,565,1912,38,84
DJI_20260615115515_0164_D.JPG,188,Вьюнок полевой,0.949,цветение,1610,1858,372,326
DJI_20260615115515_0164_D.JPG,189,Вьюнок полевой,0.9,цветение,2876,1842,592,456
DJI_20260615115515_0164_D.JPG,190,Пырей ползучий,0.578,цветение,3465,1828,128,54
DJI_20260615115515_0164_D.JPG,191,Пырей ползучий,0.588,цветение,3545,1804,72,40
DJI_20260615115515_0164_D.JPG,192,Пырей ползучий,0.556,всходы,2429,1733,43,45
DJI_20260615115515_0164_D.JPG,193,Пырей ползучий,0.8,цветение,914,1680,114,133
DJI_20260615115515_0164_D.JPG,194,Вьюнок полевой,0.907,цветение,0,1679,1252,756
DJI_20260615115515_0164_D.JPG,195,Вьюнок полевой,0.907,цветение,3624,1674,472,442
DJI_20260615115515_0164_D.JPG,196,Бодяк полевой,0.618,цветение,3365,1667,53,60
DJI_20260615115515_0164_D.JPG,197,Бодяк полевой,0.851,цветение,2494,1658,104,132
DJI_20260615115515_0164_D.JPG,198,Бодяк полевой,0.763,цветение,1573,1655,63,77
DJI_20260615115515_0164_D.JPG,199,Бодяк полевой,0.893,цветение,621,1626,216,176
DJI_20260615115515_0164_D.JPG,200,Пырей ползучий,0.639,цветение,3655,1589,41,104
DJI_20260615115515_0164_D.JPG,201,Пырей ползучий,0.748,цветение,1487,1565,181,71
DJI_20260615115515_0164_D.JPG,202,Пырей ползучий,0.633,цветение,3333,1528,70,59
DJI_20260615115515_0164_D.JPG,203,Бодяк полевой,0.825,цветение,916,1516,90,112
DJI_20260615115515_0164_D.JPG,204,Пырей ползучий,0.709,цветение,4006,1486,90,158
DJI_20260615115515_0164_D.JPG,205,Пырей ползучий,0.722,цветение,3845,1456,97,85
DJI_20260615115515_0164_D.JPG,206,Пырей ползучий,0.615,цветение,2198,1439,72,27
DJI_20260615115515_0164_D.JPG,207,Вьюнок полевой,0.925,цветение,1775,1434,653,644
DJI_20260615115515_0164_D.JPG,208,Бодяк полевой,0.761,цветение,2432,1304,39,66
DJI_20260615115515_0164_D.JPG,209,Бодяк полевой,0.793,цветение,3594,1288,68,54
DJI_20260615115515_0164_D.JPG,210,Пырей ползучий,0.67,цветение,3196,1262,18,85
DJI_20260615115515_0164_D.JPG,211,Пырей ползучий,0.684,цветение,3000,1248,33,80
DJI_20260615115515_0164_D.JPG,212,Пырей ползучий,0.753,цветение,2297,1247,114,112
DJI_20260615115515_0164_D.JPG,213,Пырей ползучий,0.847,цветение,1003,1239,98,109
DJI_20260615115515_0164_D.JPG,214,Вьюнок полевой,0.882,цветение,2595,1222,957,810
DJI_20260615115515_0164_D.JPG,215,Вьюнок полевой,0.918,цветение,3797,1154,299,204
DJI_20260615115515_0164_D.JPG,216,Пырей ползучий,0.691,цветение,1949,1104,74,31
DJI_20260615115515_0164_D.JPG,217,Пырей ползучий,0.689,цветение,3057,1088,62,32
DJI_20260615115515_0164_D.JPG,218,Пырей ползучий,0.693,цветение,4031,1079,65,42
DJI_20260615115515_0164_D.JPG,219,Пырей ползучий,0.71,цветение,3737,1037,69,81
DJI_20260615115515_0164_D.JPG,220,Пырей ползучий,0.691,цветение,3901,1011,87,77
DJI_20260615115515_0164_D.JPG,221,Бодяк полевой,0.667,цветение,3075,981,47,51
DJI_20260615115515_0164_D.JPG,222,Пырей ползучий,0.762,цветение,2137,923,178,93
DJI_20260615115515_0164_D.JPG,223,Вьюнок полевой,0.888,цветение,1010,835,2063,865
DJI_20260615115515_0164_D.JPG,224,Пырей ползучий,0.676,цветение,2917,797,109,74
DJI_20260615115515_0164_D.JPG,225,Пырей ползучий,0.847,цветение,2023,721,96,75
DJI_20260615115515_0164_D.JPG,226,Пырей ползучий,0.668,всходы,3986,698,26,61
DJI_20260615115515_0164_D.JPG,227,Пырей ползучий,0.768,цветение,1842,582,58,89
DJI_20260615115515_0164_D.JPG,228,Пырей ползучий,0.586,цветение,1784,574,64,50
DJI_20260615115515_0164_D.JPG,229,Пырей ползучий,0.894,цветение,3151,558,209,238
DJI_20260615115515_0164_D.JPG,230,Вьюнок полевой,0.909,цветение,3072,543,1024,729
DJI_20260615115515_0164_D.JPG,231,Бодяк полевой,0.628,всходы,3536,540,64,40
DJI_20260615115515_0164_D.JPG,232,Пырей ползучий,0.674,цветение,46,530,64,35
DJI_20260615115515_0164_D.JPG,233,Пырей ползучий,0.671,всходы,2084,482,44,84
DJI_20260615115515_0164_D.JPG,234,Бодяк полевой,0.69,всходы,975,448,50,54
DJI_20260615115515_0164_D.JPG,235,Пырей ползучий,0.804,вегетативный рост,1537,401,189,102
DJI_20260615115515_0164_D.JPG,236,Пырей ползучий,0.649,цветение,4016,394,64,46
DJI_20260615115515_0164_D.JPG,237,Вьюнок полевой,0.896,цветение,0,302,2027,1366
DJI_20260615115515_0164_D.JPG,238,Пырей ползучий,0.77,цветение,2495,275,64,129
DJI_20260615115515_0164_D.JPG,239,Пырей ползучий,0.629,цветение,2499,192,104,31
DJI_20260615115515_0164_D.JPG,240,Бодяк полевой,0.685,цветение,2362,177,62,35
DJI_20260615115515_0164_D.JPG,241,Пырей ползучий,0.666,цветение,2894,166,28,127
DJI_20260615115515_0164_D.JPG,242,Пырей ползучий,0.662,цветение,3277,136,124,22
DJI_20260615115515_0164_D.JPG,243,Бодяк полевой,0.757,цветение,1593,126,47,68
DJI_20260615115515_0164_D.JPG,244,Вьюнок полевой,0.887,цветение,2015,91,1313,785
DJI_20260615115515_0164_D.JPG,245,Вьюнок полевой,0.904,цветение,1629,71,463,444
DJI_20260615115515_0164_D.JPG,246,Пырей ползучий,0.596,цветение,3294,56,99,70
DJI_20260615115515_0164_D.JPG,247,Пырей ползучий,0.703,цветение,3086,10,120,74
DJI_20260615115515_0164_D.JPG,248,Вьюнок полевой,0.881,цветение,3205,0,891,618
DJI_20260615115515_0164_D.JPG,249,Пырей ползучий,0.673,цветение,2801,0,48,26
DJI_20260615115515_0164_D.JPG,250,Пырей ползучий,0.928,цветение,2377,0,497,257
DJI_20260615115515_0164_D.JPG,251,Вьюнок полевой,0.929,цветение,2113,0,243,353
DJI_20260615115515_0164_D.JPG,252,Пырей ползучий,0.742,цветение,1264,0,339,101
DJI_20260615115515_0164_D.JPG,253,Пырей ползучий,0.56,цветение,1177,0,79,40
DJI_20260615115515_0164_D.JPG,254,Вьюнок полевой,0.906,цветение,812,0,275,277
DJI_20260615115515_0164_D.JPG,255,Бодяк полевой,0.769,цветение,739,0,111,106
DJI_20260615115515_0164_D.JPG,256,Вьюнок полевой,0.885,цветение,0,0,559,451
DJI_20260615134123_0339_D.JPG,257,Пырей ползучий,0.876,цветение,382,2981,238,91
DJI_20260615134123_0339_D.JPG,258,Бодяк полевой,0.76,всходы,2216,2970,32,78
DJI_20260615134123_0339_D.JPG,259,Бодяк полевой,0.875,цветение,2018,2836,134,76
DJI_20260615134123_0339_D.JPG,260,Вьюнок полевой,0.905,вегетативный рост,379,2836,134,180
DJI_20260615134123_0339_D.JPG,261,Пырей ползучий,0.94,цветение,716,2561,363,440
DJI_20260615134123_0339_D.JPG,262,Пырей ползучий,0.84,цветение,661,2560,60,72
DJI_20260615134123_0339_D.JPG,263,Бодяк полевой,0.775,всходы,2632,2467,40,37
DJI_20260615134123_0339_D.JPG,264,Пырей ползучий,0.894,цветение,1313,2418,110,134
DJI_20260615134123_0339_D.JPG,265,Пырей ползучий,0.863,розетка,242,2371,112,58
DJI_20260615134123_0339_D.JPG,266,Бодяк полевой,0.809,цветение,341,2362,54,99
DJI_20260615134123_0339_D.JPG,267,Пырей ползучий,0.688,цветение,2640,2250,77,42
DJI_20260615134123_0339_D.JPG,268,Бодяк полевой,0.784,цветение,2926,2213,70,34
DJI_20260615134123_0339_D.JPG,269,Пырей ползучий,0.922,цветение,1039,2205,168,155
DJI_20260615134123_0339_D.JPG,270,Пырей ползучий,0.888,цветение,1340,2107,208,57
DJI_20260615134123_0339_D.JPG,271,Пырей ползучий,0.7,цветение,1257,2075,78,41
DJI_20260615134123_0339_D.JPG,272,Пырей ползучий,0.769,всходы,1632,1855,73,43
DJI_20260615134123_0339_D.JPG,273,Пырей ползучий,0.807,розетка,0,1782,63,79
DJI_20260615134123_0339_D.JPG,274,Пырей ползучий,0.891,цветение,1817,1601,88,130
DJI_20260615134123_0339_D.JPG,275,Вьюнок полевой,0.879,цветение,2568,1516,105,119
DJI_20260615134123_0339_D.JPG,276,Бодяк полевой,0.865,цветение,1474,1190,101,93
DJI_20260615134123_0339_D.JPG,277,Пырей ползучий,0.849,цветение,1922,1099,47,50
DJI_20260615134123_0339_D.JPG,278,Пырей ползучий,0.851,цветение,2758,1071,187,108
DJI_20260615134123_0339_D.JPG,279,Бодяк полевой,0.826,всходы,1237,887,52,52
DJI_20260615134123_0339_D.JPG,280,Пырей ползучий,0.875,цветение,1501,838,151,176
DJI_20260615134123_0339_D.JPG,281,Пырей ползучий,0.845,цветение,1561,822,37,64
DJI_20260615134123_0339_D.JPG,282,Пырей ползучий,0.896,цветение,1443,492,426,337
DJI_20260615134123_0339_D.JPG,283,Пырей ползучий,0.902,цветение,1708,405,186,129
DJI_20260615134123_0339_D.JPG,284,Пырей ползучий,0.684,цветение,1336,372,95,24
DJI_20260615134123_0339_D.JPG,285,Пырей ползучий,0.704,цветение,1929,317,35,108
DJI_20260615134123_0339_D.JPG,286,Бодяк полевой,0.724,цветение,3046,234,35,68
DJI_20260615134123_0339_D.JPG,287,Пырей ползучий,0.83,цветение,1743,233,93,78
DJI_20260615134123_0339_D.JPG,288,Пырей ползучий,0.913,цветение,1758,71,261,264
DJI_20260615134123_0339_D.JPG,289,Пырей ползучий,0.814,цветение,3143,0,47,102
DJI_20260615134123_0339_D.JPG,290,Пырей ползучий,0.871,цветение,3050,0,90,93
DJI_20260615134123_0339_D.JPG,291,Пырей ползучий,0.904,цветение,1216,0,2880,3072
DJI_20260615134123_0339_D.JPG,292,Пырей ползучий,0.857,цветение,1818,0,240,176
